2023-10-02 22:42:13.841 [restartedMain] INFO  c.a.pb.PortfolioBuddyApplication - Starting PortfolioBuddyApplication using Java 17.0.8.1 with PID 21816 (C:\Users\PBhuite\git-projects\portfolio-buddy\target\classes started by pbhuite in C:\Users\PBhuite\git-projects\portfolio-buddy)
2023-10-02 22:42:13.847 [restartedMain] INFO  c.a.pb.PortfolioBuddyApplication - No active profile set, falling back to 1 default profile: "default"
2023-10-02 22:42:13.937 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-10-02 22:42:13.941 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-10-02 22:42:16.711 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-10-02 22:42:16.728 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-10-02 22:42:16.734 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-10-02 22:42:16.735 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-10-02 22:42:16.865 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-10-02 22:42:16.868 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2923 ms
2023-10-02 22:42:19.020 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-10-02 22:42:19.030 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-02 22:42:19.103 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-10-02 22:42:19.146 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-02 22:42:19.177 [restartedMain] INFO  c.a.pb.PortfolioBuddyApplication - Started PortfolioBuddyApplication in 7.005 seconds (process running for 8.111)
